"fips","YearData","govid_14","Name","STATEAB","demshare_fg","demshare_oc","demshare_gh","mayor_party","runnerup_party","mayor_votes","runnerup_votes","mayor_name","runnerup_name","winner_pid","runner1_pid","winnervotes","runner1_votes","winner","runner1","population_est","elec_source","winner_cf_party","runnerup_cf_party","winner_pid_check","runnerup_pid_check","winner_pid_gh","runnerup_pid_gh","elecdate","month","gh_oc","gh_fg","oc_fg","mayor_party_final","pass_mayor","mayor_votes_final","runnerup_party_final","pass_runnerup","runnerup_votes_final","demshare","fail","elec_index","STATE","ID","FIPS_PLACE_ID","JURIS","fog","initiative","partisan","referendum","termlength","termlimits","STATEFIP","mayor_name_final","runnerup_name_final"
1829520,1999,NA,NA,NA,0.028538148,NA,NA,"D","R",1815,1619,"Rodney Fleming","Patricia C. Elmore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1815,"R",-1,1619,0.528538148,NA,8577,"IN",207706,29520,"City of Greenfield",1,0,1,0,4,0,18,"rodney fleming","patricia elmore"
1829520,2003,NA,NA,NA,0.095427435,NA,NA,"D","R",1797,1221,"Rodney Fleming","Brad Dereamer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1797,"R",-1,1221,0.595427435,NA,9118,"IN",207706,29520,"City of Greenfield",1,0,1,0,4,0,18,"rodney fleming","brad dereamer"
1829718,1999,NA,NA,NA,-0.008124077,NA,NA,"R","D",1376,1332,"Gary Matthew Bailey","Frank P. Manus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",-1,1376,"D",-1,1332,0.491875923,NA,8512,"IN",188042,29718,"City of Greensburg",1,1,1,0,4,0,18,"gary matthew bailey","frank manus"
1829718,2003,NA,NA,NA,0.132385939,NA,NA,"D","R",1691,983,"Frank P. Manus","Gary M. Bailey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",-1,1691,"R",-1,983,0.632385939,NA,9373,"IN",188042,29718,"City of Greensburg",1,0,1,0,4,0,18,"frank manus","gary bailey"
1829898,1999,NA,NA,NA,NA,NA,NA,"R","",1,NA,"Charles E. Henderson","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",-1,1,"0",NA,NA,NA,NA,8431,"IN",187642,29898,"City of Greenwood",1,0,1,1,4,0,18,"charles henderson",""
1829898,2003,NA,NA,NA,-0.110765349,NA,NA,"R","D",3631,2314,"Charles E. Henderson","Doug Daniel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",-1,3631,"D",-1,2314,0.389234651,NA,9333,"IN",187642,29898,"City of Greenwood",1,0,1,1,4,0,18,"charles henderson","doug daniel"
1831000,1947,NA,NA,NA,-0.014599135,NA,NA,"R","D",12619,11903,"Vernon C Anderson","G Birthtram Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,12619,"D",-1,11903,0.485400865,NA,6867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vernon anderson","g birthtram smith"
1831000,1951,152045007,"HAMMOND CITY","IN",NA,NA,NA,"R","R",13898,10317,"Vernon C Anderson","Mike Kampo",NA,NA,NA,NA,NA,NA,87594,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"R",-1,13898,"R",-1,10317,NA,NA,2687,"IN",187710,31000,"City of Hammond",1,0,1,0,4,0,18,"vernon anderson","mike kampo"
1831000,1955,152045007,"HAMMOND CITY","IN",0.006944659,NA,NA,"D","R",16388,15939,"Edward C Dowling","Vernon C Anderson",NA,NA,NA,NA,NA,NA,98306.88889,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,16388,"R",-1,15939,0.506944659,NA,2688,"IN",187710,31000,"City of Hammond",1,0,1,0,4,0,18,"edward dowling","vernon anderson"
1831000,1959,152045007,"HAMMOND CITY","IN",0.015522132,NA,NA,"D","R",19263,18103,"Edward C Dowling","Vernon C Anderson",NA,NA,NA,NA,NA,NA,109019.7778,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,19263,"R",-1,18103,0.515522132,NA,2689,"IN",187710,31000,"City of Hammond",1,0,1,0,4,0,18,"edward dowling","vernon anderson"
